animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
,5331220,,OB102R2,m,Haematopus ostralegus,adult,539,harness,2010-07-28T00:00:00Z,53.47828100,6.20890000,2010-06-18T11:12:00Z,Schiermonnikoog | life_stage: adult | Found dead. Tracker reused for 5429658.,dead,128,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,378,UvA-BiTS,14.80,378
,5429658,,LB-LAGL,u,Haematopus ostralegus,adult,497,harness,,52.94323800,4.85635500,2011-08-02T07:00:00Z,Balgzand | life_stage: adult | Tracker reused from 5331220.,,129,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,378,UvA-BiTS,14.80,378
,5427791,,RB-LHRA,u,Haematopus ostralegus,adult,543,harness,,52.95291100,4.80106100,2010-07-27T18:30:00Z,Balgzand | life_stage: adult,,148,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,350,UvA-BiTS,14.80,350
,5367728,,LR-GEWP,u,Haematopus ostralegus,adult,532,harness,2012-02-08T13:00:00Z,52.94323800,4.85635500,2011-08-02T07:00:00Z,Balgzand | life_stage: adult | Found dead on 2012-02-08 in the afternoon with 8 conspecifics and other dead waders in the Mokbaai on Texel (NL) near the Joost-Dourlain kazerne.,dead,165,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,414,UvA-BiTS,14.90,414
,5427792,,RB-LHRB,u,Haematopus ostralegus,adult,595,harness,2011-04-18T00:00:00Z,52.95291100,4.80106100,2010-07-27T18:30:00Z,"Balgzand | life_stage: adult | Found dead on 2011-04-19 at 51°41'19.68""N / 6°28""01.59""O near Xanten (DE) by Joachim Bus. Comments by finder: ""The bird lay dead at the riverside - it was not very long dead - I think just some days - at least 2 or three - there were some wounds - they may be from eating - they were in a fresh red shape"".",dead,171,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,383,UvA-BiTS,14.80,383
,5427794,,RB-LHRE,u,Haematopus ostralegus,adult,498,harness,,52.95291100,4.80106100,2010-07-27T18:30:00Z,Balgzand | life_stage: adult,,187,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,405,UvA-BiTS,14.90,405
,5427799,,RB-LHRN,u,Haematopus ostralegus,adult,519,harness,,52.95291100,4.80106100,2010-07-27T18:30:00Z,Balgzand | life_stage: adult,,191,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,411,UvA-BiTS,14.80,411
,5428103,,RB-LHRY,u,Haematopus ostralegus,adult,548,harness,2010-11-12T00:00:00Z,52.95291100,4.80106100,2010-07-27T18:30:00Z,"Balgzand | life_stage: adult | Found dead on 2010-12-11 in Texel (NL) at N53.00.058 / E.004.42.972 by Luc Steenvoorden. Comments by the finder: ""Vogel was nog aardig intact. Vlees was nog rose en was niet leeggevreten. Vederdek was ook nog aanwezig en de snavel had nog de felrode kleur. Duidt allemaal naar mij mening op een vroeg vinden na doodsoorzaak. Hij lag wel deels onder het zand (is aangespoeld en lag ver op het strand in de vloedlijn. Op de plek van de vondst is het strand bij eb erg breed.""",dead,192,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,412,UvA-BiTS,14.60,412
,5429659,,RB-CZLA,u,Haematopus ostralegus,adult,507,harness,,52.94323800,4.85635500,2011-08-03T05:00:00Z,Balgzand | life_stage: adult,,198,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,416,UvA-BiTS,14.90,416
,5429660,,RB-CZLB,u,Haematopus ostralegus,adult,522,harness,,52.94323800,4.85635500,2011-08-03T05:00:00Z,Balgzand | life_stage: adult,,199,provided by the GPS unit,none,O_BALGZAND,other wireless,GPS,417,UvA-BiTS,14.90,417
