animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
Kees,L904812,Kees,URAL,m,Larus fuscus,adult,869,harness,,51.339311,3.17913,2013-05-30T00:00:00Z,ZEEB_APM | Poor tracker functioning after bird removed antenna.,,524,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,703,UvA-BiTS,18.2,703
Billie,L907450,Billie,UMAD,f,Larus fuscus,adult,749,harness,,51.339311,3.17913,2013-06-03T00:00:00Z,ZEEB_APM,,525,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,712,UvA-BiTS,18.2,712
Harry,L907322,Harry,UMAT,m,Larus fuscus,adult,978,harness,,51.339311,3.17913,2013-06-04T00:00:00Z,ZEEB_APM,,526,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,719,UvA-BiTS,17.9,719
Marc,L906623,Marc,UBAS,m,Larus fuscus,adult,887,harness,2013-06-27T00:00:00Z,51.339311,3.17913,2013-05-30T00:00:00Z,ZEEB_APM | Poor tracker functioning after bird removed antenna. Dead: predated by fox.,dead,527,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,744,UvA-BiTS,18.2,744
Joke,L907407,Joke,USAT,f,Larus fuscus,adult,712,harness,2016-06-16T00:00:00Z,51.339311,3.17913,2013-06-10T00:00:00Z,ZEEB_APM | Dead.,dead,528,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,753,UvA-BiTS,18,753
Wouter,L902124,Wouter,UBAR,m,Larus fuscus,adult,974,harness,,51.339311,3.17913,2013-05-31T00:00:00Z,ZEEB_APM | Poor tracker functioning after bird removed antenna.,,529,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,755,UvA-BiTS,18,755
Chloe,L909213,Chloe,UPAK,f,Larus fuscus,adult,792,harness,,51.339311,3.17913,2013-05-30T00:00:00Z,ZEEB_APM | Poor tracker functioning after bird removed antenna.,,530,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,830,UvA-BiTS,18.2,830
Sanne,L909887,Sanne,USAS,f,Larus fuscus,adult,668,harness,,51.339311,3.17913,2013-06-10T00:00:00Z,ZEEB_APM,,531,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,833,UvA-BiTS,18.2,833
Jozsa,L906543,Jozsa,UPAV,f,Larus fuscus,adult,711,harness,,51.339311,3.17913,2013-05-31T00:00:00Z,ZEEB_APM | Poor tracker functioning after bird removed antenna.,,532,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,847,UvA-BiTS,18.2,847
Hilbran,L901266,Hilbran,UDAC,m,Larus fuscus,adult,1064,harness,,51.339311,3.17913,2013-06-03T00:00:00Z,ZEEB_APM,,533,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,849,UvA-BiTS,18.2,849
Eric,L907172,Eric,URAM,m,Larus fuscus,adult,918,harness,,51.339311,3.17913,2013-05-28T00:00:00Z,ZEEB_APM,,534,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,851,UvA-BiTS,18.2,851
Misja,L909197,Misja,UBAU,m,Larus fuscus,adult,957,harness,,51.339311,3.17913,2013-06-04T00:00:00Z,ZEEB_APM,,535,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,852,UvA-BiTS,18.3,852
Michelle,L902130,Michelle,UPAC,f,Larus fuscus,adult,788,harness,,51.339311,3.17913,2013-06-11T00:00:00Z,ZEEB_APM,,536,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,853,UvA-BiTS,18.2,853
Kate,L916710,Kate,UDAR,f,Larus fuscus,adult,734,harness,,51.339311,3.17913,2013-06-04T00:00:00Z,ZEEB_APM,,537,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,854,UvA-BiTS,18.3,854
Jasmin,L907004,Jasmin,UDAD,f,Larus fuscus,adult,752,harness,,51.339311,3.17913,2013-05-28T00:00:00Z,ZEEB_APM,,538,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,858,UvA-BiTS,18.3,858
Marieke,L909877,Marieke,UMAF,f,Larus fuscus,adult,746,harness,,51.339311,3.17913,2013-06-11T00:00:00Z,ZEEB_APM,,539,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,860,UvA-BiTS,18.2,860
Hans,L906682,Hans,URAK,m,Larus fuscus,adult,0,harness,,51.339311,3.17913,2013-05-29T00:00:00Z,ZEEB_APM,,540,provided by the GPS unit,none,LBBG_ZEEBRUGGE,other wireless,GPS,861,UvA-BiTS,18.3,861
