project,tag-id,animal-id,deployment-id,animal-taxon,deploy-on-timestamp,deploy-off-timestamp,tag-type,animal-comments,animal-sex,ring-id,animal-nickname,animal-life-stage,animal-mass,attachment-type,deployment-comments,deployment-end-type,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,tag-manufacturer-name,tag-mass,tag-serial-no
MH_ANTWERPEN,1603,H171693,15702,Circus aeruginosus,2018-07-18T10:43:00Z,2026-07-28T10:43:00Z,GPS,Zuzanna,f,,Zuzanna,adult,674,harness,Prosperdorp,,provided by the GPS unit,none,MH_ANTWERPEN,other wireless,University of Amsterdam Bird Tracking System (UvA-BiTS),19.3,1603
MH_ANTWERPEN,6330,H197169,15798,Circus aeruginosus,2019-04-18T09:30:00Z,2026-01-17T09:30:00Z,GPS,,f,0000,,adult,810,harness,,,provided by the GPS unit,none,MH_ANTWERPEN,other wireless,University of Amsterdam Bird Tracking System (UvA-BiTS),18.4,6330
MH_ANTWERPEN,6329,L177801,15799,Circus aeruginosus,2019-05-16T07:40:00Z,2026-01-17T07:40:00Z,GPS,,m,0000,,adult,520,harness,,,provided by the GPS unit,none,MH_ANTWERPEN,other wireless,University of Amsterdam Bird Tracking System (UvA-BiTS),18.4,6329
