animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
L930152,,K.VOH,f,Larus fuscus,LBBG_JUVENILE,juvenile,795,harness,2020-07-20T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,193982,Ornitela,15,193982
L930148,,KZO.V,m,Larus fuscus,LBBG_JUVENILE,juvenile,806,harness,2020-07-20T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,193983,Ornitela,15,193983
L930150,,KW.OF,f,Larus fuscus,LBBG_JUVENILE,juvenile,693,harness,2020-07-24T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,193984,Ornitela,15,193984
L930069,,K.DOT,f,Larus fuscus,LBBG_JUVENILE,juvenile,688,harness,2020-07-13T00:00:00Z,,2020-07-10T18:00:00Z,Dead. Tracker reused for L930228.,dead,none,ZEEB_BUS,phone network,GPS,193985,Ornitela,15,193985
L930228,,KTO.N,m,Larus fuscus,LBBG_JUVENILE,juvenile,930,harness,2021-11-26T00:00:00Z,,2020-09-11T12:00:00Z,"Tracker reused from L930069, brought to VOC on 2020-07-24.",,manipulated other,OOST_VOC,phone network,GPS,193985,Ornitela,15,193985
L930063,,K.ROD,f,Larus fuscus,LBBG_JUVENILE,juvenile,716,harness,2020-07-19T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200550,Ornitela,15,200550
L930093,,KRO.S,m,Larus fuscus,LBBG_JUVENILE,juvenile,912,harness,2020-07-15T00:00:00Z,,2020-07-10T18:00:00Z,Dead. Tracker reused for L930219.,dead,none,ZEEB_BUS,phone network,GPS,200551,Ornitela,15,200551
L930219,,KN.OL,m,Larus fuscus,LBBG_JUVENILE,juvenile,763,harness,2020-09-16T00:00:00Z,,2020-09-11T12:00:00Z,"Tracker reused from L930093, brought to VOC on 2020-07-24.",,manipulated other,OOST_VOC,phone network,GPS,200551,Ornitela,15,200551
L930074,,KZ.OM,m,Larus fuscus,LBBG_JUVENILE,juvenile,841,harness,2021-02-05T00:00:00Z,,2020-07-06T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200552,Ornitela,15,200552
L930122,,KK.OM,m,Larus fuscus,LBBG_JUVENILE,juvenile,696,harness,2020-08-13T00:00:00Z,,2020-07-06T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200553,Ornitela,15,200553
L930094,,K.BOL,m,Larus fuscus,LBBG_JUVENILE,juvenile,783,harness,2020-07-31T00:00:00Z,,2020-07-10T18:00:00Z,,,none,ZEEB_BUS,phone network,GPS,200554,Ornitela,15,200554
