animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5471370,,MARW,m,Larus argentatus,HG_TEXEL,adult,1090,harness,2014-01-01T00:00:00Z,53.009,4.718233,,2013-05-20T00:00:00Z,,563,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6004,UvA-BiTS,17.1,6004
5471373,,MARZ,m,Larus argentatus,HG_TEXEL,adult,960,harness,2017-01-01T00:00:00Z,53.0087,4.719383,,2013-05-23T00:00:00Z,,564,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6006,UvA-BiTS,18.2,6006
5471568,,FAVK,f,Larus argentatus,HG_TEXEL,adult,855,harness,2018-05-31T00:00:00Z,53.00917,4.71949,,2014-06-03T10:46:00Z,,565,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6009,UvA-BiTS,17.7,6009
5471371,,FASF,f,Larus argentatus,HG_TEXEL,adult,935,harness,2014-01-05T00:00:00Z,53.0079,4.718717,,2013-05-20T00:00:00Z,,566,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6009,UvA-BiTS,17.7,6009
5471372,,FASH,f,Larus argentatus,HG_TEXEL,adult,895,harness,2016-01-01T00:00:00Z,53.0081,4.719033,,2013-05-20T00:00:00Z,,567,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6011,UvA-BiTS,17.6,6011
5471375,,FASK,f,Larus argentatus,HG_TEXEL,adult,820,harness,2015-04-05T12:00:00Z,53.008433,4.718617,,2013-05-23T00:00:00Z,,568,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6012,UvA-BiTS,18,6012
5471376,,MASA,m,Larus argentatus,HG_TEXEL,adult,980,harness,2014-01-01T00:00:00Z,53.008917,4.71815,,2013-05-23T00:00:00Z,,569,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6014,UvA-BiTS,17.8,6014
5460489,,MANK,m,Larus argentatus,HG_TEXEL,adult,965,harness,2019-06-10T00:00:00Z,53.008667,4.719267,,2013-05-23T00:00:00Z,,570,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6015,UvA-BiTS,17.5,6015
5460268,,MAMH,m,Larus argentatus,HG_TEXEL,adult,1070,harness,2015-06-11T00:00:00Z,53.009067,4.718267,,2013-05-23T00:00:00Z,,571,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6016,UvA-BiTS,17.3,6016
5471392,,MASL,m,Larus argentatus,HG_TEXEL,adult,1075,harness,2016-01-01T00:00:00Z,53.009017,4.71925,,2013-06-06T00:00:00Z,,572,provided by the GPS unit,none,,v1.0.4.4,other wireless,GPS,6017,UvA-BiTS,17.8,6017
5471369,,FASD,f,Larus argentatus,HG_TEXEL,adult,850,harness,2016-04-11T00:00:00Z,53.00865,4.718617,,2013-05-20T00:00:00Z,,573,provided by the GPS unit,none,,v1.0.4.3,other wireless,GPS,1600,UvA-BiTS,,1600
5460267,,MAMF,m,Larus argentatus,HG_TEXEL,adult,1030,harness,2015-01-01T00:00:00Z,53.00917,4.71949,,2014-05-17T12:30:00Z,,1346,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6071,UvA-BiTS,18.4,6071
5460497,,FANH,f,Larus argentatus,HG_TEXEL,adult,855,harness,2017-01-01T00:00:00Z,53.00917,4.71949,,2014-05-17T13:35:00Z,,1347,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6072,UvA-BiTS,18.5,6072
5460390,,FAJP,f,Larus argentatus,HG_TEXEL,adult,865,harness,2020-01-01T00:00:00Z,53.00917,4.71949,,2014-05-20T10:35:00Z,,1348,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6073,UvA-BiTS,18.4,6073
5471509,,MAUD,m,Larus argentatus,HG_TEXEL,adult,849,harness,2015-03-11T12:00:00Z,53.00917,4.71949,,2014-05-20T11:15:00Z,,1349,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6074,UvA-BiTS,18.4,6074
5460488,,MANJ,m,Larus argentatus,HG_TEXEL,adult,945,harness,2014-07-15T00:00:00Z,53.00917,4.71949,,2014-05-20T11:45:00Z,,1350,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6075,UvA-BiTS,18.4,6075
5471525,,FAUF,f,Larus argentatus,HG_TEXEL,adult,915,harness,2015-01-01T00:00:00Z,53.00917,4.71949,,2014-05-25T12:48:00Z,,1380,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6076,UvA-BiTS,18.5,6076
5471528,,MAUF,m,Larus argentatus,HG_TEXEL,adult,1085,harness,2016-05-09T00:00:00Z,53.00917,4.71949,,2014-05-25T14:27:00Z,,1381,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6077,UvA-BiTS,18.5,6077
5471529,,FAUJ,f,Larus argentatus,HG_TEXEL,adult,910,harness,2015-05-14T00:00:00Z,53.00917,4.71949,,2014-05-30T12:20:00Z,dead,1398,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6079,UvA-BiTS,18.6,6079
5460492,,MANM,m,Larus argentatus,HG_TEXEL,adult,1090,harness,2016-03-24T00:00:00Z,53.00917,4.71949,,2014-05-30T12:55:00Z,,1399,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6080,UvA-BiTS,19,6080
5471562,,FAVD,f,Larus argentatus,HG_TEXEL,adult,860,harness,2015-01-01T00:00:00Z,53.00917,4.71949,,2014-06-03T09:36:00Z,,1426,provided by the GPS unit,none,,v1.0.4.5,other wireless,GPS,6082,UvA-BiTS,18.6,6082
5506818,,JUDY,f,Larus argentatus,HG_TEXEL,adult,965,harness,2016-01-01T00:00:00Z,53.0091,4.7195,,2015-05-23T10:00:00Z,,15028,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6205,UvA-BiTS,18.5,6205
5506816,,SUUS,f,Larus argentatus,HG_TEXEL,adult,835,harness,2020-01-01T00:00:00Z,53.0091,4.7195,,2015-05-23T10:00:00Z,,15029,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6206,UvA-BiTS,19.1,6206
5506815,,MAVV,m,Larus argentatus,HG_TEXEL,adult,1065,harness,2016-05-02T10:00:00Z,53.0091,4.7195,,2015-05-23T10:00:00Z,,15030,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6202,UvA-BiTS,18.6,6202
5506824,,MAWA,m,Larus argentatus,HG_TEXEL,adult,1015,harness,2017-01-01T00:00:00Z,53.0091,4.7195,,2015-05-25T10:00:00Z,,15031,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6212,UvA-BiTS,19.4,6212
5506819,,MAVX,m,Larus argentatus,HG_TEXEL,adult,990,harness,2016-01-01T00:00:00Z,53.0091,4.7195,,2015-05-23T10:00:00Z,,15032,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6208,UvA-BiTS,19.2,6208
5506820,,MAVZ,m,Larus argentatus,HG_TEXEL,adult,990,harness,2023-05-22T00:00:00Z,53.0091,4.7195,,2015-05-23T10:00:00Z,,15033,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6210,UvA-BiTS,19.4,6210
5506822,,FAWR,f,Larus argentatus,HG_TEXEL,adult,985,harness,2016-03-23T00:00:00Z,53.0091,4.7195,,2015-05-25T10:00:00Z,dead,15034,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6216,UvA-BiTS,19.4,6216
5506826,,MAWB,m,Larus argentatus,HG_TEXEL,adult,995,harness,2018-01-01T00:00:00Z,53.0091,4.7195,,2015-05-25T10:00:00Z,,15035,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6214,UvA-BiTS,18.7,6214
5506849,,FAWW,f,Larus argentatus,HG_TEXEL,adult,875,harness,2017-01-01T00:00:00Z,53.0091,4.7195,,2015-06-01T00:00:00Z,,15052,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6217,UvA-BiTS,19.7,6217
5506852,,MAWJ,m,Larus argentatus,HG_TEXEL,adult,1035,harness,2015-10-22T00:00:00Z,53.0091,4.7195,,2015-06-01T00:00:00Z,,15053,provided by the GPS unit,none,,v1.0.5.0,other wireless,GPS,6219,UvA-BiTS,19,6219
