animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
ad,5517501,ad,RR-CZLA,u,Haematopus ostralegus,adult,572,harness,2024-12-05T14:19:00Z,53.2379,4.94642,2016-12-02T23:00:00Z,,,15333,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5439,UvA-BiTS,13.5,5439
ad,5517502,ad,RR-CZLB,u,Haematopus ostralegus,adult,678,harness,2024-12-05T14:30:00Z,53.2379,4.94642,2016-12-02T23:00:00Z,,,15334,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5423,UvA-BiTS,13.4,5423
ad,5517503,ad,RR-CZLC,u,Haematopus ostralegus,adult,679,harness,2024-12-05T14:34:00Z,53.2379,4.94642,2016-12-02T23:00:00Z,,,15335,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5437,UvA-BiTS,13.5,5437
ad,5517504,ad,RR-CZLE,u,Haematopus ostralegus,adult,599,harness,2024-12-05T14:36:00Z,53.2379,4.94642,2016-12-02T23:00:00Z,,,15336,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5438,UvA-BiTS,13.3,5438
2kj,5517506,2kj,RR-CZLJ,u,Haematopus ostralegus,adult,642,harness,2024-12-05T14:38:00Z,53.2379,4.94642,2016-12-02T23:00:00Z,,,15337,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5420,UvA-BiTS,13.4,5420
juv,5517507,juv,RR-CZLK,u,Haematopus ostralegus,adult,591,harness,2024-12-05T14:41:00Z,53.23779,4.95678,2016-12-03T23:00:00Z,,,15338,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5449,UvA-BiTS,13.4,5449
ad,5517510,ad,RR-CZLP,u,Haematopus ostralegus,adult,568,harness,2024-12-05T14:48:00Z,53.23779,4.95678,2016-12-03T23:00:00Z,,,15339,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5450,UvA-BiTS,13.5,5450
juv,5517511,juv,RR-CZLQ,u,Haematopus ostralegus,adult,583,harness,2024-12-05T14:49:00Z,53.23779,4.95678,2016-12-03T23:00:00Z,,,15340,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5435,UvA-BiTS,13.4,5435
ad,5517514,ad,RR-CZLY,u,Haematopus ostralegus,adult,603,harness,2024-12-06T16:39:00Z,53.23779,4.95678,2016-12-06T10:30:00Z,,,15341,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5444,UvA-BiTS,13.6,5444
(sub)ad,5517515,(sub)ad,RR-CZLZ,u,Haematopus ostralegus,adult,680,harness,2024-12-19T17:57:00Z,53.248,4.974,2016-12-18T23:00:00Z,,,15352,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5447,UvA-BiTS,13.5,5447
juv,5517523,juv,RB-CLLL,u,Haematopus ostralegus,adult,679,harness,2024-12-19T17:59:00Z,53.248,4.974,2016-12-18T23:30:00Z,,,15353,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5453,UvA-BiTS,13.4,5453
ad,5517518,ad,RB-CLLC,u,Haematopus ostralegus,adult,742,harness,2024-12-19T18:04:00Z,53.248,4.974,2016-12-18T23:30:00Z,,,15354,provided by the GPS unit,none,O_VLIELAND,other wireless,GPS,5445,UvA-BiTS,13.5,5445
