animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
B6927,Jef,W-NBNB,u,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1327,harness,2023-10-04T16:00:00Z,wing_length: 280 | bill_length: 95 | head_to_bill_length: 136 | tarsus_length: 130.5 | third_outer_primary_length: 156 | age: 1cy,2022-05-26T22:00:00Z,Bird found dead.,dead,none,Verrebroekse Plassen,phone network,GPS,223474,Ornitela,25,223474
B6918,Wout,,u,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1480,harness,,wing_length: 302 | bill_length: 98.8 | head_to_bill_length: 145 | tarsus_length: 144.9 | third_outer_primary_length: 176 | age: 1cy,2022-07-07T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,223475,Ornitela,25,223475
Y0089,Fons,W-NBV2,u,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1495,harness,,wing_length: 314 | bill_length: 102 | head_to_bill_length: 145 | tarsus_length: 140 | third_outer_primary_length: 196 | age: 1cy,2022-06-22T22:00:00Z,,,none,Doelpolder Noord,phone network,GPS,223476,Ornitela,25,223476
B6926,Geert,W-NB49,u,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1596,harness,,wing_length: 299 | bill_length: 99 | head_to_bill_length: 146 | tarsus_length: 148.8 | third_outer_primary_length: 164 | age: 1cy,2022-05-26T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,223477,Ornitela,25,223477
Y0095,Kobe,W-NBPN,u,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1595,harness,2023-02-15T15:00:00Z,wing_length: 336 | bill_length: 116.9 | head_to_bill_length: 164 | tarsus_length: 145.5 | third_outer_primary_length: 225 | age: 1cy,2022-07-07T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,223478,Ornitela,25,223478
B8457,Kjell,W-NFNC,m,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1810,harness,2023-10-03T17:00:00Z,wing_length: 341 | bill_length: 120 | head_to_bill_length: 168 | tarsus_length: 148 | third_outer_primary_length: 206 | age: 1cy,2023-07-17T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,234601,Ornitela,25,234601
B8462,Jules,W-NFFI,m,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1500,harness,,wing_length: 315 | bill_length: 111 | head_to_bill_length: 165 | tarsus_length: 150 | third_outer_primary_length: 194 | age: 1cy,2023-07-17T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,234602,Ornitela,25,234602
B8454,Lucas,W-NFTN,m,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1510,harness,,wing_length: 310 | bill_length: 102 | head_to_bill_length: 151 | tarsus_length: 148 | third_outer_primary_length: 167 | age: 1cy,2023-07-17T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,234603,Ornitela,25,234603
B8453,Oberon,W-NF7V,m,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1720,harness,,wing_length: 305 | bill_length: 100 | head_to_bill_length: 147 | tarsus_length: 158 | third_outer_primary_length: 163 | age: 1cy,2023-07-17T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,234604,Ornitela,25,234604
B8470,Arthur,W-NF6U,m,Platalea leucorodia,SPOONBILL_VLAANDEREN,juvenile,1680,harness,,wing_length: 328 | bill_length: 118.5 | head_to_bill_length: 173.5 | tarsus_length: 147.3 | third_outer_primary_length: 188 | age: 1cy,2023-07-26T22:00:00Z,,,none,Verrebroekse Plassen,phone network,GPS,234605,Ornitela,25,234605
