animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
L177870,Lily,,f,Circus cyaneus,BOP_RODENT,adult,500,harness,2021-02-03T12:00:00Z,wing_length: 378 | claw_length: -/63 | moult_score: 0 | age: 2cy,2020-03-18T06:00:00Z,Tracker defective.,equipment failure,none,"Bassevelde, Knokstraat",phone network,GPS,193185,Ornitela,10,193185
E456565,Eveline,Y*V|7,f,Circus pygargus,BOP_RODENT,adult,380,harness,2020-09-30T17:00:00Z,wing_length: 360 | wing_span: 1094 | claw_length: 53/- | moult_score: 16 | age: 3cy,2020-06-19T06:00:00Z,Tracker defective.,equipment failure,none,"West-Vleteren, Abdij",phone network,GPS,193683,Ornitela,10,193683
E186488,Wim,Y*VL,m,Circus pygargus,BOP_RODENT,adult,245,harness,2021-04-26T06:00:00Z,wing_length: 373 | wing_span: 1075 | claw_length: 48/54 | tail_length: 219 | moult_score: 4 | age: 3cy,2020-07-15T06:00:00Z,Assumed dead in Morocco.,dead,none,"West-Vleteren, Abdij",phone network,GPS,193949,Ornitela,10,193949
L174747,Jeroen,,m,Circus aeruginosus,BOP_RODENT,adult,506,harness,,wing_length: 404 | wing_span: 1260 | claw_length: 73,2021-06-15T20:00:00Z,,,none,"Sint-Laureins, Draaiput",phone network,GPS,193980,Ornitela,15,193980
L178485,Lia,,f,Circus cyaneus,BOP_RODENT,adult,533,harness,,wing_length: 364 | wing_span: 1200 | claw_length: 65/84 | tail_length: 259 | moult_score: 0,2020-11-23T20:00:00Z,,,none,"Meldert, plateau",phone network,GPS,200085,Ornitela,10,200085
L177802,Tonio,,m,Circus aeruginosus,BOP_RODENT,adult,540,harness,,wing_length: 396 | wing_span: 1260 | claw_length: -/69 | tail_length: 223 | moult_score: 1 | age: 3cy+,2020-06-21T06:00:00Z,,,none,"Lillo, Galgenschoor",phone network,GPS,200570,Ornitela,15,200570
Arnhem 3806.696,Monnik,Y*1|C,m,Circus pygargus,BOP_RODENT,adult,240,harness,,wing_length: 348 | wing_span: 1080 | claw_length: 49/63 | tail_length: 207 | moult_score: 2 | age: 3cy,2020-07-08T06:00:00Z,,,none,"West-Vleteren, Abdij",phone network,GPS,202039,Ornitela,10,202039
E448932,Arnold,Y*V2,m,Circus pygargus,BOP_RODENT,adult,250,harness,,wing_length: 355 | wing_span: 1073 | claw_length: 51/64 | tail_length: 212 | moult_score: 10 | age: 3cy,2020-07-08T06:00:00Z,,,none,"West-Vleteren, Abdij",phone network,GPS,202040,Ornitela,10,202040
H197182,Jenny,,f,Asio flammeus,BOP_RODENT,adult,353,harness,2020-10-21T06:00:00Z,wing_length: 312 | wing_span: 950 | tail_length: 143 | moult_score: 8 | age: 2cy,2020-06-15T06:00:00Z,Tracker defective.,equipment failure,none,"Lampernisse, Visserstraat",phone network,GPS,202041,Ornitela,10,202041
H197179,Dieter,,m,Asio flammeus,BOP_RODENT,adult,310,harness,2020-10-24T06:00:00Z,wing_length: 308 | wing_span: 1015 | tail_length: 167 | moult_score: 0 | age: 2cy,2020-06-05T06:00:00Z,Found dead.,dead,none,"Lampernisse, Visserstraat",phone network,GPS,202042,Ornitela,10,202042
