animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5552900,Nicolas,P.D9,m,Larus fuscus,DELTATRACK,adult,901,harness,2021-05-28T12:00:00Z,,2020-05-20T18:00:00Z,Accelerometer failure since 2020-11-17.,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201089,Ornitela,15,201089
5552978,Hilbran,H4,m,Larus fuscus,DELTATRACK,adult,892,harness,2021-08-21T00:00:00Z,,2020-06-02T18:00:00Z,Found dead.,dead,none,"Neeltje Jans, Oosterduinen",phone network,GPS,201090,Ornitela,15,201090
5552899,Ruben,P.D7,m,Larus fuscus,DELTATRACK,adult,845,harness,2021-10-19T00:00:00Z,,2020-05-20T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201091,Ornitela,15,201091
5559835,Wouter FEM,P.DY,u,Larus fuscus,DELTATRACK,adult,892,harness,2020-10-06T00:00:00Z,,2020-05-20T18:00:00Z,"Bird sexed as male, later as female. Tracker defect, bird recaptured and tagged with new tracker 211283.",equipment failure,none,"Neeltje Jans, Westerduinen",phone network,GPS,201092,Ornitela,15,201092
5552956,Willie,G=,m,Larus fuscus,DELTATRACK,adult,973,harness,,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201093,Ornitela,15,201093
5552896,Naomi,P.D5,f,Larus fuscus,DELTATRACK,adult,626,harness,2020-11-01T00:00:00Z,,2020-05-20T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201094,Ornitela,15,201094
5552954,Marloes,G9,f,Larus fuscus,DELTATRACK,adult,730,harness,,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201095,Ornitela,15,201095
5552890,Jelena,DZ,f,Larus fuscus,DELTATRACK,adult,737,harness,,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201096,Ornitela,15,201096
5552958,Jarno,HA,m,Larus fuscus,DELTATRACK,adult,924,harness,,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201097,Ornitela,15,201097
5552951,Miranda,G6,f,Larus fuscus,DELTATRACK,adult,758,harness,,,2020-05-28T18:00:00Z,Accelerometer failure since 2020-06-08.,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201098,Ornitela,15,201098
5552976,Astrid,H2,f,Larus fuscus,DELTATRACK,adult,763,harness,2021-02-01T00:00:00Z,,2020-06-02T18:00:00Z,,,none,"Neeltje Jans, Oosterduinen",phone network,GPS,201099,Ornitela,15,201099
5552953,Halina,G8,f,Larus fuscus,DELTATRACK,adult,691,harness,2021-05-08T12:00:00Z,,2020-05-28T18:00:00Z,"Tracker found on 2022-01-04, but device probably already lost on 2021-05-08.",,none,"Neeltje Jans, Westerduinen",phone network,GPS,201100,Ornitela,15,201100
5552979,Sophie,H5,f,Larus fuscus,DELTATRACK,adult,670,harness,2020-12-04T00:00:00Z,,2020-06-02T18:00:00Z,,,none,"Neeltje Jans, Oosterduinen",phone network,GPS,201101,Ornitela,15,201101
5552980,Nora,H6,f,Larus fuscus,DELTATRACK,adult,688,harness,2020-11-24T00:00:00Z,,2020-06-02T18:00:00Z,,,none,"Neeltje Jans, Oosterduinen",phone network,GPS,201102,Ornitela,15,201102
5552893,Sjoerd,P.D2,m,Larus fuscus,DELTATRACK,adult,940,harness,2022-05-28T00:00:00Z,,2020-05-20T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201103,Ornitela,15,201103
5552977,Anke,H3,f,Larus fuscus,DELTATRACK,adult,771,harness,2020-08-18T00:00:00Z,,2020-06-02T18:00:00Z,Accelerometer failure since 2020-07-10.,,none,"Neeltje Jans, Oosterduinen",phone network,GPS,201104,Ornitela,15,201104
5552895,Jolanda,P.D4,f,Larus fuscus,DELTATRACK,adult,819,harness,,,2020-05-20T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201105,Ornitela,15,201105
5552952,Jacintha,G7,f,Larus fuscus,DELTATRACK,adult,671,harness,2020-07-15T00:00:00Z,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201106,Ornitela,15,201106
5552892,Eric,P.D1,m,Larus fuscus,DELTATRACK,adult,977,harness,2022-01-22T00:00:00Z,,2020-05-20T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201107,Ornitela,15,201107
5552897,Roland-Jan,P.D6,m,Larus fuscus,DELTATRACK,adult,884,harness,2020-07-24T00:00:00Z,,2020-05-20T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201108,Ornitela,15,201108
5552891,Wilma,P.D0,f,Larus fuscus,DELTATRACK,adult,736,harness,2022-04-05T12:00:00Z,,2020-05-20T18:00:00Z,"Tracker found in Callantsoog (NL) on 2022-05-29, but device probably already lost on 2022-04-05.",,none,"Neeltje Jans, Westerduinen",phone network,GPS,201109,Ornitela,15,201109
5552955,Maureen,G+,f,Larus fuscus,DELTATRACK,adult,653,harness,2022-06-24T00:00:00Z,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201110,Ornitela,15,201110
5552957,Kees,HC,m,Larus fuscus,DELTATRACK,adult,838,harness,2020-09-29T00:00:00Z,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201111,Ornitela,15,201111
5552950,Matias,G5,m,Larus fuscus,DELTATRACK,adult,901,harness,,,2020-05-28T18:00:00Z,,,none,"Neeltje Jans, Westerduinen",phone network,GPS,201112,Ornitela,15,201112
