occurrenceID,type,language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dynamicProperties,sex,lifeStage,organismID,organismName,samplingProtocol,samplingEffort,eventDate,minimumElevationInMeters,minimumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferenceSources,georeferenceVerificationStatus,scientificName,kingdom,taxonRank,vernacularName
801:20130517233522,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":3599}",2013-05-17T23:35:22Z,0,22,51.2334852,2.9300274,WGS84,6,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518003549,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":3627}",2013-05-18T00:35:49Z,0,1,51.2336368,2.9300702,WGS84,16,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518013634,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":3645}",2013-05-18T01:36:34Z,0,13,51.2334629,2.9300837,WGS84,5,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518023642,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":3608}",2013-05-18T02:36:42Z,0,0,51.2334656,2.9299976,WGS84,7,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518033642,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":3600}",2013-05-18T03:36:42Z,0,13,51.2335142,2.9300391,WGS84,14,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518044049,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":3847}",2013-05-18T04:40:49Z,0,-3,51.2438277,2.9277227,WGS84,18,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518051110,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1821}",2013-05-18T05:11:10Z,0,15,51.2422381,2.9406941,WGS84,24,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518054133,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1823}",2013-05-18T05:41:33Z,0,17,51.2335088,2.9299045,WGS84,6,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518061133,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1800}",2013-05-18T06:11:33Z,0,2,51.2336305,2.9299294,WGS84,11,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518064136,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1803}",2013-05-18T06:41:36Z,0,18,51.2380398,2.9227627,WGS84,15,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518071129,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1793}",2013-05-18T07:11:29Z,0,14,51.2334934,2.929957,WGS84,10,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518074139,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1810}",2013-05-18T07:41:39Z,0,14,51.2335193,2.9299606,WGS84,4,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518081138,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1799}",2013-05-18T08:11:38Z,0,15,51.2335148,2.9299916,WGS84,13,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518084130,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1792}",2013-05-18T08:41:30Z,0,17,51.2335364,2.9300996,WGS84,7,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518091123,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1793}",2013-05-18T09:11:23Z,0,31,51.2334805,2.930142,WGS84,12,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518094125,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1802}",2013-05-18T09:41:25Z,0,10,51.2335493,2.9300356,WGS84,12,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518101207,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1842}",2013-05-18T10:12:07Z,0,21,51.2381833,2.9227217,WGS84,22,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518104320,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1873}",2013-05-18T10:43:20Z,0,8,51.2391683,2.914445,WGS84,20,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518111404,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1844}",2013-05-18T11:14:04Z,0,3,51.2322828,2.8173308,WGS84,8,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518114419,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1815}",2013-05-18T11:44:19Z,0,8,51.226481,2.8941827,WGS84,29,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518121400,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":1781}",2013-05-18T12:14:00Z,0,16,51.2335097,2.9299962,WGS84,7,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518122354,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":594}",2013-05-18T12:23:54Z,0,24,51.2335178,2.9300138,WGS84,6,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518122930,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":336}",2013-05-18T12:29:30Z,0,19,51.2335076,2.9300124,WGS84,7,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518123923,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":593}",2013-05-18T12:39:23Z,0,0,51.2335089,2.9298919,WGS84,9,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518124914,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":591}",2013-05-18T12:49:14Z,0,18,51.2334789,2.9300651,WGS84,12,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518125912,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":598}",2013-05-18T12:59:12Z,0,28,51.2412781,2.9383333,WGS84,16,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518130916,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":604}",2013-05-18T13:09:16Z,0,1,51.2471123,2.946227,WGS84,17,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518131910,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":594}",2013-05-18T13:19:10Z,0,23,51.2374141,2.932733,WGS84,23,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
801:20130518132903,Event,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,http://www.inbo.be/en/norms-for-data-use,https://doi.org/10.15468/02omly,INBO,Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,INBO/VLIZ/UGent/UA,MachineObservation,see metadata,"{""device_info_serial"":801, ""catch_location"":""Vismijn, Oostende"", ""tracking_started_at"":""2013-05-17""}",male,adult,H903185,Jurgen,https://doi.org/10.1007/s10336-012-0908-1,"{""seconds_since_last_occurrence"":593}",2013-05-18T13:29:03Z,0,23,51.2336948,2.9300755,WGS84,22,GPS,unverified,Larus argentatus,Animalia,species,Herring Gull
