animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
Rik,H907929,Rik,ZKAH,m,Larus argentatus,adult,1247,harness,2025-08-23T15:22:00Z,51.34718107,3.17256134,2017-05-29T12:00:00Z,ZEEB_KLVL,,15532,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6264,UvA-BiTS,18.6,6264
Bram,H907933,Bram,ZHAH,m,Larus argentatus,adult,1170,harness,2025-08-23T15:23:00Z,51.34707385,3.172733,2017-05-31T12:00:00Z,ZEEB_KLVL,,15533,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6271,UvA-BiTS,18.4,6271
Claude,H907932,Claude,CMOK,m,Larus argentatus,adult,1021,harness,2025-08-23T15:43:00Z,51.34710065,3.17286175,2017-05-31T12:00:00Z,ZEEB_KLVL,,15534,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6267,UvA-BiTS,18.5,6267
Joryck,H907934,Joryck,CNOU,m,Larus argentatus,adult,963,harness,2025-08-23T15:44:00Z,51.23270846,2.92259421,2017-06-14T12:00:00Z,OOST_KAAI,,15535,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6256,UvA-BiTS,18.4,6256
Stijn,H905081,Stijn,FGOL,m,Larus argentatus,adult,1205,harness,2025-06-12T09:12:00Z,51.23307723,2.93111801,2018-06-06T12:00:00Z,OOST_MIJN,,15678,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6248,UvA-BiTS,16.6,6248
Lein,H905082,Lein,FZOZ,f,Larus argentatus,adult,896,harness,2025-06-12T09:14:00Z,51.23307723,2.93111801,2018-06-06T12:00:00Z,OOST_MIJN,,15679,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6246,UvA-BiTS,18.5,6246
Elisa,H905083,Elisa,FROH,f,Larus argentatus,adult,813,harness,2025-06-12T09:15:00Z,51.23307723,2.93111801,2018-06-06T12:00:00Z,OOST_MIJN,,15680,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6249,UvA-BiTS,18.6,6249
Veerle,H905084,Veerle,FWOH,f,Larus argentatus,adult,851,harness,2025-06-12T09:16:00Z,51.23307723,2.93111801,2018-06-06T12:00:00Z,OOST_MIJN,,15681,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6247,UvA-BiTS,18.3,6247
Tony,H908157,Tony,GAOV,m,Larus argentatus,adult,1060,harness,2019-07-23T00:00:00Z,51.232777,2.930859,2019-06-14T12:00:00Z,"OOST_MIJN | life_stage: 5cy | Found dead on beach in Lombardsijde (BE) on 2019-10-04, last active day is 2019-07-22.",dead,15924,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6321,UvA-BiTS,18.5,6321
Nathalie,H908153,Nathalie,FLOG,f,Larus argentatus,adult,867,harness,2025-04-14T12:14:00Z,51.232777,2.930859,2019-06-07T12:00:00Z,OOST_MIJN,,15925,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6327,UvA-BiTS,18.5,6327
Bo,H908155,Bo,FAOS,m,Larus argentatus,adult,1072,harness,2025-04-14T12:15:00Z,51.232777,2.930859,2019-06-10T12:00:00Z,OOST_MIJN,,15926,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6325,UvA-BiTS,18.1,6325
Sheryl,H908154,Sheryl,FDOK,f,Larus argentatus,adult,798,harness,2025-04-14T12:16:00Z,51.232777,2.930859,2019-06-07T12:00:00Z,OOST_MIJN,,15927,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6323,UvA-BiTS,17.8,6323
Maarten,H908156,Maarten,FHOS,m,Larus argentatus,adult,989,harness,2025-04-14T12:16:00Z,51.232777,2.930859,2019-06-10T12:00:00Z,OOST_MIJN,,15928,provided by the GPS unit,none,HG_OOSTENDE,other wireless,GPS,6322,UvA-BiTS,18.2,6322
