animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5416157,,MAKT,m,Larus fuscus,LBBG_TEXEL,adult,950,harness,2009-05-23T07:30:00Z,53.0094833,4.7179333,,2009-05-20T00:00:00Z,dead,61,provided by the GPS unit,none,,v1.0.1.4,other wireless,GPS,135,UvA-BiTS,20,135
5460278,,FAAD,f,Larus fuscus,LBBG_TEXEL,adult,770,harness,2010-06-24T19:00:00Z,53.00817,4.71825,,2010-05-28T00:00:00Z,,130,provided by the GPS unit,none,,v1.0.2.4,other wireless,GPS,297,UvA-BiTS,18.7,297
5460279,,MAML,m,Larus fuscus,LBBG_TEXEL,adult,960,harness,2010-07-24T00:00:00Z,53.0092,4.71775,,2010-05-28T00:00:00Z,,131,provided by the GPS unit,none,,v1.0.2.4,other wireless,GPS,298,UvA-BiTS,18.8,298
5460280,,FAKS,f,Larus fuscus,LBBG_TEXEL,adult,810,harness,2010-07-13T00:00:00Z,53.00825,4.7181,,2010-05-28T00:00:00Z,,132,provided by the GPS unit,none,,v1.0.2.4,other wireless,GPS,304,UvA-BiTS,18.9,304
5460281,,MAMJ,m,Larus fuscus,LBBG_TEXEL,adult,950,harness,2012-04-11T12:00:00Z,53.0082,4.718117,,2010-05-28T00:00:00Z,,133,provided by the GPS unit,none,,v1.0.2.4,other wireless,GPS,311,UvA-BiTS,18.9,311
5460282,,MAMM,m,Larus fuscus,LBBG_TEXEL,adult,1065,harness,2018-05-01T00:00:00Z,53.00924,4.717467,,2010-05-28T00:00:00Z,,134,provided by the GPS unit,none,,v1.0.2.4,other wireless,GPS,317,UvA-BiTS,18.9,317
5460284,,MAMN,m,Larus fuscus,LBBG_TEXEL,adult,895,harness,2010-06-08T02:00:00Z,53.00925,4.717733,,2010-05-28T00:00:00Z,,135,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,319,UvA-BiTS,18.4,319
5460273,,FAKL,f,Larus fuscus,LBBG_TEXEL,adult,755,harness,2010-07-21T00:00:00Z,53.00913,4.7177,,2010-05-24T00:00:00Z,,136,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,324,UvA-BiTS,18,324
5460272,,MAMK,m,Larus fuscus,LBBG_TEXEL,adult,850,harness,2012-03-10T00:00:00Z,53.0092,4.717417,,2010-05-24T00:00:00Z,,137,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,325,UvA-BiTS,18,325
5460275,,FAKN,f,Larus fuscus,LBBG_TEXEL,adult,810,harness,2010-07-05T11:30:00Z,53.00923,4.7178,,2010-05-24T00:00:00Z,,138,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,326,UvA-BiTS,18,326
5460286,,FAKU,f,Larus fuscus,LBBG_TEXEL,adult,830,harness,2011-07-07T00:00:00Z,53.00865,4.71664,,2010-05-28T00:00:00Z,,139,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,327,UvA-BiTS,18,327
5460271,,FAKJ,f,Larus fuscus,LBBG_TEXEL,adult,785,harness,2011-07-11T00:00:00Z,53.00927,4.717483,,2010-05-24T00:00:00Z,,140,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,329,UvA-BiTS,18,329
5460274,,FAKK,f,Larus fuscus,LBBG_TEXEL,adult,740,harness,2014-08-01T00:00:00Z,53.00822,4.71805,,2010-05-24T00:00:00Z,dead,143,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,344,UvA-BiTS,17,344
5460285,,MAMP,m,Larus fuscus,LBBG_TEXEL,adult,975,harness,2010-07-26T00:00:00Z,53.00867,4.7166,,2010-05-28T00:00:00Z,,197,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,320,UvA-BiTS,18.7,320
5460287,,FAKV,f,Larus fuscus,LBBG_TEXEL,adult,830,harness,2010-07-30T00:00:00Z,53.0095,4.717983,,2010-06-02T00:00:00Z,,201,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,355,UvA-BiTS,18.8,355
5462688,,MAPM,m,Larus fuscus,LBBG_TEXEL,adult,895,harness,2018-01-01T00:00:00Z,53.00865,4.7166,,2011-05-23T00:00:00Z,,235,provided by the GPS unit,none,,v1.0.2.8,other wireless,GPS,540,UvA-BiTS,18.8,540
