animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
Mia,H173481,Mia,,f,Circus aeruginosus,MH_WATERLAND,adult,785,harness,,51.27607800,3.59748000,2013-05-16T19:55:00Z,Waterland-Oudeman | wing_length: 430 | tarsus_length: 77 | Assumed dead.,dead,546,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.0,other wireless,GPS,586,UvA-BiTS,18.20,586
Jozef,L143451,Jozef,,m,Circus aeruginosus,MH_WATERLAND,adult,512,harness,,51.27621300,3.59542000,2013-06-24T10:00:00Z,Waterland-Oudeman | wing_length: 402 | tarsus_length: 64,,547,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.0,other wireless,GPS,610,UvA-BiTS,18.20,610
Peter,L143457,Peter,,m,Circus aeruginosus,MH_WATERLAND,adult,482,harness,,51.27060900,3.59295000,2013-07-22T10:30:00Z,Waterland-Oudeman | wing_length: 392 | tarsus_length: 65 | Assumed dead.,dead,548,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.0,other wireless,GPS,623,UvA-BiTS,18.80,623
Raymond,L143467,Raymond,,m,Circus aeruginosus,MH_WATERLAND,adult,472,harness,2016-03-26T00:00:00Z,51.28535308,3.56180191,2015-05-26T09:28:00Z,"Waterland-Oudeman | wing_length: 385 | tarsus_length: 71 | Found dead in Alps (IT) on 2016-03-31, last active day is 2016-03-25. Tracker reused for H185298.",dead,15041,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.0,other wireless,GPS,630,UvA-BiTS,18.80,630
Ben,L143472,Ben,,m,Circus aeruginosus,MH_WATERLAND,adult,571,harness,,51.27180977,3.68435740,2016-05-02T12:58:00Z,Waterland-Oudeman | wing_length: 404 | Assumed dead.,dead,15162,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.4,other wireless,GPS,6058,UvA-BiTS,19.60,6058
Walter,L143473,Walter,,m,Circus aeruginosus,MH_WATERLAND,adult,485,harness,,51.28639987,3.55562210,2016-06-01T13:36:00Z,Waterland-Oudeman | wing_length: 395 | Assumed dead.,dead,15211,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.4,other wireless,GPS,6059,UvA-BiTS,19.20,6059
Almut,H185298,Almut,,f,Circus aeruginosus,MH_WATERLAND,adult,656,harness,,51.28661459,3.55570793,2016-06-03T11:11:00Z,"Waterland-Oudeman | wing_length: 385 | tarsus_length: 71 | Tracker reused from L143467, assumed dead.",dead,15238,provided by the GPS unit,none,MH_WATERLAND,v1.0.4.0,other wireless,GPS,630,UvA-BiTS,18.80,630
