animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
William,5446465,William,,m,Circus aeruginosus,adult,524,harness,,53.28059,6.98661,2012-05-10T15:10:00Z,wing_length: 397 | tarsus_length: 72,,295,provided by the GPS unit,none,H_GRONINGEN,other wireless,GPS,291,UvA-BiTS,18.5,291
Kjell,5336455,Kjell,,m,Circus aeruginosus,adult,540,harness,,53.295407,6.991777,2014-06-04T21:50:00Z,wing_length: 406 | tarsus_length: 74 | moult_score: 5200000000,,1469,provided by the GPS unit,none,H_GRONINGEN,other wireless,GPS,634,UvA-BiTS,18.8,634
Roelof,5325667,Roelof,,m,Circus aeruginosus,adult,504,harness,2021-08-27T16:21:00Z,53.26933247,6.98776603,2014-07-04T15:00:00Z,wing_length: 418 | tarsus_length: 69 | moult_score: 0000000000,,14770,provided by the GPS unit,none,H_GRONINGEN,other wireless,GPS,6064,UvA-BiTS,19.4,6064
Job,5327085,Job,,m,Circus aeruginosus,adult,513,harness,2024-06-20T16:13:00Z,53.231376,7.131125,2016-06-18T07:46:00Z,wing_length: 383 | tarsus_length: 70 | moult_score: 0000000000,,15254,provided by the GPS unit,none,H_GRONINGEN,other wireless,GPS,6065,UvA-BiTS,19.6,6065
