animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
L922149,Marc,EAJR,m,Numenius arquata,adult,686,harness,,2021-03-31T22:00:00Z,"Geetbets, Aronst Hoek | wing_length: 308 | bill_length: 106",,none,CURLEW_VLAANDEREN,phone network,GPS,201032,Ornitela,15,201032
L178457,,EAJU,m,Numenius arquata,adult,595,harness,2020-06-14T08:00:00Z,2020-05-05T18:00:00Z,Zoutleeuw | wing_length: 297 | bill_length: 118 | Found dead. Tracker reused for L178332.,dead,none,CURLEW_VLAANDEREN,phone network,GPS,201034,Ornitela,15,201034
L178332,Witte,EAJT,f,Numenius arquata,juvenile,540,harness,2021-07-20T08:00:00Z,2021-07-08T18:00:00Z,"Doel, Doelpolder Noord | wing_length: 244 | bill_length: 78 | Tracker reused from L178457, chick raised in VOC. Found dead.",dead,manipulated other,CURLEW_VLAANDEREN,phone network,GPS,201034,Ornitela,15,201034
L178463,Peter,EAYL,m,Numenius arquata,adult,570,harness,,2020-05-27T18:00:00Z,"Glabbeek, Paddepoel | wing_length: 296 | bill_length: 115",,none,CURLEW_VLAANDEREN,phone network,GPS,201036,Ornitela,15,201036
L178330,Marcel,EAJN,m,Numenius arquata,adult,620,harness,2021-10-10T08:00:00Z,2021-06-09T12:00:00Z,"Halen, Halens Broek | wing_length: 311 | bill_length: 89 | Found dead.",dead,none,CURLEW_VLAANDEREN,phone network,GPS,201037,Ornitela,15,201037
