animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
,5515867,,RG-CHYZ,u,Haematopus ostralegus,adult,550,harness,2019-05-09T21:28:00Z,53.00088333,6.59388889,2018-05-04T09:30:00Z,"Tracker malfunction, tagged with new tracker 5750.",equipment failure,15652,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5635,UvA-BiTS,13.20,5635
,5515868,,RR-BSOA,u,Haematopus ostralegus,adult,490,harness,,52.97687500,6.56972222,2018-05-04T11:43:00Z,,,15653,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5644,UvA-BiTS,13.20,5644
,5515869,,RR-BSOB,u,Haematopus ostralegus,adult,560,harness,,53.02413889,6.56055556,2018-05-09T10:15:00Z,,,15654,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5628,UvA-BiTS,13.20,5628
,5515851,,RR-BNOZ,u,Haematopus ostralegus,adult,500,harness,,53.00776667,6.58055556,2018-05-09T14:15:00Z,,,15655,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5642,UvA-BiTS,13.10,5642
,5515867,,RG-CHYZ,u,Haematopus ostralegus,adult,550,harness,,53.00068584,6.59381353,2019-05-10T09:00:00Z,Bird originally tracked with tracker 5635.,,15795,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5750,UvA-BiTS,13.40,5750
,5515879,,RR-BSOQ,u,Haematopus ostralegus,adult,530,harness,2019-05-14T00:00:00Z,52.97282537,6.53854337,2019-05-09T20:30:00Z,"Found dead, possibly predated by peregrine falcon.",dead,15796,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5822,UvA-BiTS,13.60,5822
,5515878,,RR-BSOQ,u,Haematopus ostralegus,adult,510,harness,,52.97681188,6.56771116,2019-05-09T19:45:00Z,,,15797,provided by the GPS unit,none,O_ASSEN,other wireless,GPS,5821,UvA-BiTS,13.70,5821
