animal-comments,animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-timestamp,deployment-comments,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
,5369736,,GW210W4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,531,harness,2008-07-02T00:00:00Z,53.47828100,6.20890000,2008-05-28T13:50:00Z,"Schiermonnikoog | life_stage: adult | wing_length: 273 | tarsus_length: 124.2 | bill_length: 81.7 | billtip_height: 4.0 | billtip_width: 1.5 | billtip_shape: P | Tracker defective, removed.",equipment failure,24,provided by the GPS unit,none,Schiermonnikoog,v0.9.3.6,other wireless,GPS,40,UvA-BiTS,18.00,40
,5413616,,GW120B6,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,557,harness,2009-05-31T00:00:00Z,53.47828100,6.20890000,2008-05-26T17:10:00Z,"Schiermonnikoog | life_stage: adult | wing_length: 268 | tarsus_length: 98 | bill_length: 73.8 | billtip_height: 4.8 | billtip_width: 1.0 | billtip_shape: B | Tracker defective, removed.",equipment failure,46,provided by the GPS unit,none,Schiermonnikoog,v0.9.3.6,other wireless,GPS,29,UvA-BiTS,18.00,29
,5331186,,GW202G3,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,586,harness,,53.47828100,6.20890000,2008-06-03T20:45:00Z,Schiermonnikoog | life_stage: adult | wing_length: 270 | tarsus_length: 126.5 | bill_length: 85.5 | billtip_height: 4.2 | billtip_width: 1.1 | billtip_shape: PB,,47,provided by the GPS unit,none,Schiermonnikoog,v0.9.3.6,other wireless,GPS,43,UvA-BiTS,18.00,43
,5413618,,MW022Y1,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,577,harness,2008-06-16T00:00:00Z,53.47828100,6.20890000,2008-06-04T11:00:00Z,Schiermonnikoog | life_stage: adult | wing_length: 275 | tarsus_length: 120.1 | bill_length: 77.6 | billtip_height: 3.9 | billtip_width: 1.3 | billtip_shape: PB | Found dead.,dead,48,provided by the GPS unit,none,Schiermonnikoog,v0.9.3.6,other wireless,GPS,20,UvA-BiTS,18.00,20
,5333751,,MW102Y1,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,512,harness,2008-06-24T00:00:00Z,53.47828100,6.20890000,2008-06-04T16:42:00Z,"Schiermonnikoog | life_stage: adult | wing_length: 253 | tarsus_length: 95 | bill_length: 72.3 | billtip_height: 4.2 | billtip_width: 1.2 | billtip_shape: PB | Tracker defective, removed.",equipment failure,49,provided by the GPS unit,none,Schiermonnikoog,v0.9.3.6,other wireless,GPS,23,UvA-BiTS,18.00,23
,5413624,,GW110B6,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,583,harness,2008-07-14T00:00:00Z,53.47828100,6.20890000,2008-06-04T11:00:00Z,"Schiermonnikoog | life_stage: adult | wing_length: 262 | tarsus_length: 112 | bill_length: 67.5 | billtip_height: 5.3 | billtip_width: 1.5 | billtip_shape: B | Tracker defective, removed.",equipment failure,50,provided by the GPS unit,none,Schiermonnikoog,v0.9.3.6,other wireless,GPS,25,UvA-BiTS,18.00,25
,5413623,,MW111Y1,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,508,harness,,53.47828100,6.20890000,2009-05-27T11:20:00Z,Schiermonnikoog | life_stage: adult | wing_length: 257 | tarsus_length: 114.4 | bill_length: 72.4 | billtip_height: 4.8 | billtip_width: 1.3 | billtip_shape: PB,,62,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,149,UvA-BiTS,13.60,149
,5368232,,GW020W5,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,511,harness,,53.47828100,6.20890000,2009-05-29T21:10:00Z,Schiermonnikoog | life_stage: adult | wing_length: 250 | tarsus_length: 110 | bill_length: 67.8 | billtip_height: 4.6 | billtip_width: 1.3 | billtip_shape: PB,,63,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,150,UvA-BiTS,13.50,150
,5413617,,GB202G6,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,473,harness,,53.47828100,6.20890000,2009-05-31T11:20:00Z,Schiermonnikoog | life_stage: adult | wing_length: 261 | tarsus_length: 109.9 | bill_length: 69.4 | billtip_height: 5.0 | billtip_width: 1.2 | billtip_shape: B,,64,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,151,UvA-BiTS,13.40,151
,5413633,,GB021B4,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,543,harness,,53.47828100,6.20890000,2009-05-31T11:10:00Z,Schiermonnikoog | life_stage: adult | wing_length: 281 | tarsus_length: 113.5 | bill_length: 71.7 | billtip_height: 4.9 | billtip_width: 1.2 | billtip_shape: PB,,65,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,152,UvA-BiTS,13.60,152
,5413622,,GW111B6,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,501,harness,,53.47828100,6.20890000,2009-05-19T15:00:00Z,Schiermonnikoog | life_stage: adult | wing_length: 258 | tarsus_length: 119 | bill_length: 78.0 | billtip_height: 3.9 | billtip_width: 1.3 | billtip_shape: P,,66,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,153,UvA-BiTS,13.80,153
,5333838,,GW002W2,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,533,harness,,53.47828100,6.20890000,2009-05-19T18:20:00Z,Schiermonnikoog | life_stage: adult | wing_length: 260 | tarsus_length: 113.4 | bill_length: 71.2 | billtip_height: 4.9 | billtip_width: 1.4 | billtip_shape: B,,67,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,154,UvA-BiTS,13.10,154
,5368190,,RW202G5,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,503,harness,2009-07-10T00:00:00Z,53.47828100,6.20890000,2009-05-25T04:30:00Z,Schiermonnikoog | life_stage: adult | wing_length: 261 | tarsus_length: 111.4 | bill_length: 69.7 | billtip_height: 5.3 | billtip_width: 1.4 | billtip_shape: B | Found dead.,dead,68,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,159,UvA-BiTS,13.80,159
,5368367,,RW001Y3,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,512,harness,2009-06-18T00:00:00Z,53.47828100,6.20890000,2009-06-02T12:30:00Z,"Schiermonnikoog | life_stage: adult | wing_length: 260 | tarsus_length: 124.1 | bill_length: 81.7 | billtip_height: 2.9 | billtip_width: 1.0 | billtip_shape: P | Tracker defective, removed.",equipment failure,69,provided by the GPS unit,none,Schiermonnikoog,v1.0.1.4,other wireless,GPS,161,UvA-BiTS,14.20,161
,5411932,,WR101RW3,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,483,harness,,53.47828100,6.20890000,2009-06-30T10:00:00Z,Schiermonnikoog | life_stage: adult | wing_length: 259 | tarsus_length: 110.2 | bill_length: 69.5 | billtip_height: 4.8 | billtip_width: 1.3 | billtip_shape: B,,70,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.3,other wireless,GPS,166,UvA-BiTS,13.80,166
,5368381,,GW111W3,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,577,harness,,53.47828100,6.20890000,2009-06-29T13:45:00Z,Schiermonnikoog | life_stage: adult | wing_length: 263 | tarsus_length: 117.7 | bill_length: 75.5 | billtip_height: 4.5 | billtip_width: 1.2 | billtip_shape: B,,71,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.3,other wireless,GPS,167,UvA-BiTS,14.20,167
,5369735,,GB021B3,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,502,harness,,53.47828100,6.20890000,2009-06-30T11:05:00Z,Schiermonnikoog | life_stage: adult | wing_length: 262 | tarsus_length: 120.1 | bill_length: 78.6 | billtip_height: 3.8 | billtip_width: 1.2 | billtip_shape: PB,,72,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.3,other wireless,GPS,169,UvA-BiTS,14.30,169
,5427876,,RW111G4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,594,harness,,53.47828100,6.20890000,2010-06-08T11:04:00Z,Schiermonnikoog | life_stage: adult | wing_length: 272 | tarsus_length: 101 | bill_length: 79.7 | billtip_height: 4.1 | billtip_width: 1.5 | billtip_shape: PB,,111,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,374,UvA-BiTS,14.90,374
,5369544,,RW202G4,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,572,harness,,53.47828100,6.20890000,2010-06-09T10:35:00Z,Schiermonnikoog | life_stage: adult | wing_length: 269 | tarsus_length: 95 | bill_length: 72.1 | billtip_height: 5.0 | billtip_width: 1.7 | billtip_shape: PH,,141,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,341,UvA-BiTS,14.90,341
,5427864,,MW120Y3,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,605,harness,,53.47828100,6.20890000,2010-06-03T08:20:00Z,Schiermonnikoog | life_stage: adult | wing_length: 259 | tarsus_length: 99 | bill_length: 76.2 | billtip_height: 4.1 | billtip_width: 1.3 | billtip_shape: PB,,149,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,351,UvA-BiTS,14.90,351
,5427869,,GW200W3,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,546,harness,,53.47828100,6.20890000,2010-06-04T07:30:00Z,Schiermonnikoog | life_stage: adult | wing_length: 266 | tarsus_length: 100 | bill_length: 68.8 | billtip_height: 5.2 | billtip_width: 2.0 | billtip_shape: B,,150,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,352,UvA-BiTS,14.90,352
,5427870,,RW020G4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,508,harness,2012-02-02T12:00:00Z,53.47828100,6.20890000,2010-06-04T07:30:00Z,Schiermonnikoog | life_stage: adult | wing_length: 260 | tarsus_length: 96 | bill_length: 80.8 | billtip_height: 3.9 | billtip_width: 1.4 | billtip_shape: PB | Tracker removed.,,151,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,353,UvA-BiTS,14.90,353
,5427863,,RW002G4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,471,harness,,53.47828100,6.20890000,2010-06-03T08:20:00Z,Schiermonnikoog | life_stage: adult | wing_length: 259 | tarsus_length: 95 | bill_length: 72.7 | billtip_height: 4.9 | billtip_width: 1.5 | billtip_shape: PH,,153,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,358,UvA-BiTS,14.90,358
,5427866,,MW200Y3,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,479,harness,,53.47828100,6.20890000,2010-06-03T10:45:00Z,Schiermonnikoog | life_stage: adult | wing_length: 263 | tarsus_length: 95 | bill_length: 68.8 | billtip_height: 5.1 | billtip_width: 1.3 | billtip_shape: B,,154,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,359,UvA-BiTS,14.90,359
,5427871,,RW021G4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,572,harness,,53.47828100,6.20890000,2010-06-04T08:40:00Z,Schiermonnikoog | life_stage: adult | wing_length: 261 | tarsus_length: 97 | bill_length: 77.1 | billtip_height: 4.8 | billtip_width: 1.6 | billtip_shape: PH,,155,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,360,UvA-BiTS,14.90,360
,5411871,,RW110G4,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,552,harness,2013-06-19T06:00:00Z,53.47828100,6.20890000,2010-06-08T10:04:00Z,Schiermonnikoog | life_stage: adult | wing_length: 265 | tarsus_length: 96 | bill_length: 72.3 | billtip_height: 5.4 | billtip_width: 1.5 | billtip_shape: B | Tracker removed.,,158,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,365,UvA-BiTS,14.90,365
,5427862,,RW001G4,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,556,harness,,53.47828100,6.20890000,2010-06-03T08:20:00Z,Schiermonnikoog | life_stage: adult | wing_length: 274 | tarsus_length: 98 | bill_length: 70.3 | billtip_height: 4.2 | billtip_width: 1.2 | billtip_shape: PB,,162,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,370,UvA-BiTS,14.90,370
,5427783,,GW010B5,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,478,harness,,53.47828100,6.20890000,2010-06-09T10:47:00Z,Schiermonnikoog | life_stage: adult | wing_length: 254 | tarsus_length: 93 | bill_length: 67.1 | billtip_height: 4.9 | billtip_width: 1.2 | billtip_shape: B,,166,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,376,UvA-BiTS,14.90,376
,5427874,,RW102G4,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,541,harness,,53.47828100,6.20890000,2010-06-08T10:42:00Z,Schiermonnikoog | life_stage: adult | wing_length: 269 | tarsus_length: 100 | bill_length: 74.4 | billtip_height: 4.9 | billtip_width: 1.4 | billtip_shape: PB,,167,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,377,UvA-BiTS,14.90,377
,5427875,,WR100B5,u,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,583,harness,,53.47828100,6.20890000,2010-06-08T10:31:00Z,Schiermonnikoog | life_stage: adult | wing_length: 267 | tarsus_length: 96 | bill_length: 82.0 | billtip_height: 4.1 | billtip_width: 1.2 | billtip_shape: PB,,170,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,382,UvA-BiTS,14.70,382
,5427781,,RW201G4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,524,harness,,53.47828100,6.20890000,2010-06-09T11:07:00Z,Schiermonnikoog | life_stage: adult | wing_length: 269 | tarsus_length: 97 | bill_length: 79.6 | billtip_height: 4.3 | billtip_width: 1.3 | billtip_shape: PB,,173,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,385,UvA-BiTS,14.80,385
,5427878,,RW200G4,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,489,harness,,53.47828100,6.20890000,2010-06-08T11:40:00Z,Schiermonnikoog | life_stage: adult | wing_length: 268 | tarsus_length: 96 | bill_length: 80.3 | billtip_height: 4.2 | billtip_width: 1.4 | billtip_shape: PB,,177,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,390,UvA-BiTS,14.80,390
,5427784,,MW202Y3,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,496,harness,,53.47828100,6.20890000,2010-06-09T10:57:00Z,Schiermonnikoog | life_stage: adult | wing_length: 267 | tarsus_length: 102 | bill_length: 72.9 | billtip_height: 5.2 | billtip_width: 1.2 | billtip_shape: B,,180,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,393,UvA-BiTS,14.90,393
,5427786,,MW210Y3,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,556,harness,2010-08-01T00:00:00Z,53.47828100,6.20890000,2010-06-16T18:10:00Z,Schiermonnikoog | life_stage: adult | wing_length: 279 | tarsus_length: 101 | bill_length: 81.1 | billtip_height: 4.6 | billtip_width: 1.4 | billtip_shape: PB | Found dead.,dead,185,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,401,UvA-BiTS,14.90,401
,5427873,,RW101G4,m,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,520,harness,,53.47828100,6.20890000,2010-06-08T10:16:00Z,Schiermonnikoog | life_stage: adult | wing_length: 267 | tarsus_length: 94 | bill_length: 68.8 | billtip_height: 4.8 | billtip_width: 1.2 | billtip_shape: B,,186,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,404,UvA-BiTS,14.80,404
,5466041,,RW220R1,f,Haematopus ostralegus,O_SCHIERMONNIKOOG,adult,505,harness,2014-06-11T00:00:00Z,53.48232000,6.23204000,2014-05-23T08:10:00Z,Schiermonnikoog | life_stage: adult | wing_length: 257 | tarsus_length: 113 | bill_length: 70.6 | billtip_height: 4.2 | billtip_width: 1.4 | billtip_shape: PB | Tracker removed.,,14865,provided by the GPS unit,none,Schiermonnikoog,v1.0.2.8,other wireless,GPS,434,UvA-BiTS,14.90,434
