animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-comments,deployment-end-type,manipulation-type,study-site,tag-model,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
R72358,,R72358,u,Psittacula krameri,RRP_VLAANDEREN,,132.5,harness,,51.208522,4.441475,wing_length: 169,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,1400000dbc,Druid,5.5,1400000dbc
R72354,,R72354,u,Psittacula krameri,RRP_VLAANDEREN,,155.8,harness,,51.208522,4.441475,wing_length: 174,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,1400000dbd,Druid,5.5,1400000dbd
rrp_20250820,,,u,Psittacula krameri,RRP_VLAANDEREN,,,harness,,51.047166,3.705341,,2025-08-20T20:00:00Z,,,none,"Watersportbaan, Gent",NANO,v1007,Wi-Fi/Bluetooth,GNSS,1400000dbf,Druid,5.5,1400000dbf
R72353,,R72353,u,Psittacula krameri,RRP_VLAANDEREN,,,harness,,51.189904,4.340154,wing_length: 177,2026-04-13T11:15:00Z,,,none,"Hobokense Polder, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,1400000ddc,Druid,5.5,1400000ddc
R72373,,R72373,u,Psittacula krameri,RRP_VLAANDEREN,,140.8,harness,,51.208522,4.441475,wing_length: 170,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,1400001149,Druid,5.5,1400001149
R72364,,R72364,u,Psittacula krameri,RRP_VLAANDEREN,,145.5,harness,,51.208522,4.441475,wing_length: 172,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,140000115f,Druid,5.5,140000115f
R72357,,R72357,u,Psittacula krameri,RRP_VLAANDEREN,,136,harness,,51.208522,4.441475,wing_length: 170,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,1400001161,Druid,5.5,1400001161
R72361,,R72361,u,Psittacula krameri,RRP_VLAANDEREN,,142.5,harness,,51.208522,4.441475,wing_length: 170,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,14000013c5,Druid,5.5,14000013c5
R72365,,R72365,m,Psittacula krameri,RRP_VLAANDEREN,adult,139.9,harness,,51.208522,4.441475,wing_length: 177,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,14000013c6,Druid,5.5,14000013c6
R72369,,R72369,m,Psittacula krameri,RRP_VLAANDEREN,adult,167,harness,,51.208522,4.441475,wing_length: 180,2026-04-27T23:00:00Z,,,none,"Borgerhout, Antwerpen",NANO,v1007,Wi-Fi/Bluetooth,GNSS,14000013c7,Druid,5.5,14000013c7
